local,codigo,Despesas das câmaras municipais em cultura e desporto no total de despesas
Portugal,PT,9.3
Continente,1,9.4
Norte,11,10.2
Alto Minho,111,10.6
Arcos de Valdevez,1111601,15.3
Caminha,1111602,8.0
Melgaço,1111603,5.7
Monção,1111604,13.2
Paredes de Coura,1111605,13.1
Ponte da Barca,1111606,6.9
Ponte de Lima,1111607,9.3
Valença,1111608,14.1
Viana do Castelo,1111609,6.3
Vila Nova de Cerveira,1111610,26.6
Cávado,112,8.9
Amares,1120301,3.5
Barcelos,1120302,14.4
Braga,1120303,7.2
Esposende,1120306,11.4
Terras de Bouro,1120310,1.9
Vila Verde,1120313,4.6
Ave,119,10.0
Cabeceiras de Basto,1190304,3.1
Fafe,1190307,10.8
Guimarães,1190308,11.0
Mondim de Basto,1191705,7.7
Póvoa de Lanhoso,1190309,11.5
Vieira do Minho,1190311,3.5
Vila Nova de Famalicão,1190312,11.7
Vizela,1190314,6.0
Área Metropolitana do Porto,11A,10.3
Arouca,11A0104,15.4
Espinho,11A0107,3.7
Gondomar,11A1304,5.9
Maia,11A1306,13.5
Matosinhos,11A1308,13.9
Oliveira de Azeméis,11A0113,7.5
Paredes,11A1310,5.1
Porto,11A1312,12.8
Póvoa de Varzim,11A1313,16.6
Santa Maria da Feira,11A0109,8.5
Santo Tirso,11A1314,7.8
São João da Madeira,11A0116,10.0
Trofa,11A1318,3.1
Vale de Cambra,11A0119,17.8
Valongo,11A1315,13.7
Vila do Conde,11A1316,9.6
Vila Nova de Gaia,11A1317,6.5
Alto Tâmega,11B,12.7
Boticas,11B1702,8.2
Chaves,11B1703,11.6
Montalegre,11B1706,21.8
Ribeira de Pena,11B1709,13.0
Valpaços,11B1712,7.9
Vila Pouca de Aguiar,11B1713,12.6
Tâmega e Sousa,11C,10.6
Amarante,11C1301,12.6
Baião,11C1302,9.7
Castelo de Paiva,11C0106,6.5
Celorico de Basto,11C0305,21.8
Cinfães,11C1804,14.4
Felgueiras,11C1303,12.8
Lousada,11C1305,3.9
Marco de Canaveses,11C1307,12.3
Paços de Ferreira,11C1309,8.1
Penafiel,11C1311,9.0
Resende,11C1813,11.5
Douro,11D,9.4
Alijó,11D1701,7.0
Armamar,11D1801,29.8
Carrazeda de Ansiães,11D0403,15.4
Freixo de Espada à Cinta,11D0404,6.3
Lamego,11D1805,4.4
Mesão Frio,11D1704,11.5
Moimenta da Beira,11D1807,9.0
Murça,11D1707,5.6
Penedono,11D1812,15.0
Peso da Régua,11D1708,2.2
Sabrosa,11D1710,8.8
Santa Marta de Penaguião,11D1711,8.6
São João da Pesqueira,11D1815,6.1
Sernancelhe,11D1818,15.9
Tabuaço,11D1819,3.6
Tarouca,11D1820,11.6
Torre de Moncorvo,11D0409,8.1
Vila Nova de Foz Côa,11D0914,6.1
Vila Real,11D1714,13.8
Terras de Trás-os-Montes,11E,10.5
Alfândega da Fé,11E0401,17.6
Bragança,11E0402,16.4
Macedo de Cavaleiros,11E0405,3.7
Miranda do Douro,11E0406,6.6
Mirandela,11E0407,8.1
Mogadouro,11E0408,12.7
Vila Flor,11E0410,10.8
Vimioso,11E0411,7.1
Vinhais,11E0412,5.7
Centro,16,10.6
Oeste,16B,8.5
Alcobaça,16B1001,10.3
Alenquer,16B1101,6.9
Arruda dos Vinhos,16B1102,7.6
Bombarral,16B1005,3.7
Cadaval,16B1104,4.9
Caldas da Rainha,16B1006,13.6
Lourinhã,16B1108,4.8
Nazaré,16B1011,21.9
Óbidos,16B1012,3.1
Peniche,16B1014,6.6
Sobral de Monte Agraço,16B1112,15.1
Torres Vedras,16B1113,7.0
Região de Aveiro,16D,11.5
Águeda,16D0101,11.5
Albergaria-a-Velha,16D0102,17.3
Anadia,16D0103,6.8
Aveiro,16D0105,12.5
Estarreja,16D0108,10.5
Ílhavo,16D0110,15.4
Murtosa,16D0112,14.4
Oliveira do Bairro,16D0114,9.2
Ovar,16D0115,10.5
Sever do Vouga,16D0117,6.6
Vagos,16D0118,8.2
Região de Coimbra,16E,11.7
Arganil,16E0601,9.5
Cantanhede,16E0602,8.0
Coimbra,16E0603,13.3
Condeixa-a-Nova,16E0604,14.2
Figueira da Foz,16E0605,11.5
Góis,16E0606,13.4
Lousã,16E0607,22.3
Mealhada,16E0111,11.2
Mira,16E0608,8.1
Miranda do Corvo,16E0609,6.6
Montemor-o-Velho,16E0610,12.7
Mortágua,16E1808,16.5
Oliveira do Hospital,16E0611,6.6
Pampilhosa da Serra,16E0612,12.7
Penacova,16E0613,13.1
Penela,16E0614,16.0
Soure,16E0615,7.8
Tábua,16E0616,5.5
Vila Nova de Poiares,16E0617,7.5
Região de Leiria,16F,10.4
Alvaiázere,16F1002,12.4
Ansião,16F1003,10.5
Batalha,16F1004,12.9
Castanheira de Pêra,16F1007,3.9
Figueiró dos Vinhos,16F1008,10.1
Leiria,16F1009,9.4
Marinha Grande,16F1010,12.5
Pedrógão Grande,16F1013,12.1
Pombal,16F1015,11.9
Porto de Mós,16F1016,7.3
Viseu Dão Lafões,16G,8.0
Aguiar da Beira,16G0901,7.1
Carregal do Sal,16G1802,7.4
Castro Daire,16G1803,4.3
Mangualde,16G1806,3.9
Nelas,16G1809,3.1
Oliveira de Frades,16G1810,10.0
Penalva do Castelo,16G1811,9.4
Santa Comba Dão,16G1814,8.4
São Pedro do Sul,16G1816,8.1
Sátão,16G1817,11.7
Tondela,16G1821,7.7
Vila Nova de Paiva,16G1822,8.2
Viseu,16G1823,9.8
Vouzela,16G1824,12.4
Beira Baixa,16H,15.0
Castelo Branco,16H0502,14.4
Idanha-a-Nova,16H0505,21.5
Oleiros,16H0506,7.7
Penamacor,16H0507,21.6
Proença-a-Nova,16H0508,12.1
Vila Velha de Ródão,16H0511,8.7
Médio Tejo,16I,14.4
Abrantes,16I1401,22.8
Alcanena,16I1402,10.6
Constância,16I1408,19.4
Entroncamento,16I1410,9.8
Ferreira do Zêzere,16I1411,8.2
Mação,16I1413,18.3
Ourém,16I1421,12.7
Sardoal,16I1417,21.7
Sertã,16I0509,15.4
Tomar,16I1418,11.9
Torres Novas,16I1419,15.7
Vila de Rei,16I0510,11.0
Vila Nova da Barquinha,16I1420,6.9
Beiras e Serra da Estrela,16J,8.2
Almeida,16J0902,12.4
Belmonte,16J0501,7.3
Celorico da Beira,16J0903,6.3
Covilhã,16J0503,8.4
Figueira de Castelo Rodrigo,16J0904,2.4
Fornos de Algodres,16J0905,4.2
Fundão,16J0504,3.5
Gouveia,16J0906,11.8
Guarda,16J0907,7.1
Manteigas,16J0908,8.1
Mêda,16J0909,7.3
Pinhel,16J0910,9.1
Sabugal,16J0911,10.5
Seia,16J0912,11.9
Trancoso,16J0913,17.7
Área Metropolitana de Lisboa,17,6.4
Área Metropolitana de Lisboa,170,6.4
Alcochete,1701502,6.0
Almada,1701503,11.1
Amadora,1701115,8.1
Barreiro,1701504,6.4
Cascais,1701105,3.0
Lisboa,1701106,7.8
Loures,1701107,3.6
Mafra,1701109,5.0
Moita,1701506,10.2
Montijo,1701507,6.3
Odivelas,1701116,7.7
Oeiras,1701110,3.5
Palmela,1701508,8.9
Seixal,1701510,9.4
Sesimbra,1701511,7.2
Setúbal,1701512,6.8
Sintra,1701111,3.3
Vila Franca de Xira,1701114,9.9
Alentejo,18,11.0
Alentejo Litoral,181,10.6
Alcácer do Sal,1811501,13.2
Grândola,1811505,11.2
Odemira,1810211,6.8
Santiago do Cacém,1811509,12.7
Sines,1811513,10.9
Baixo Alentejo,184,10.4
Aljustrel,1840201,9.4
Almodôvar,1840202,4.3
Alvito,1840203,13.4
Barrancos,1840204,15.0
Beja,1840205,9.5
Castro Verde,1840206,12.0
Cuba,1840207,15.0
Ferreira do Alentejo,1840208,5.2
Mértola,1840209,7.9
Moura,1840210,8.9
Ourique,1840212,6.6
Serpa,1840213,21.7
Vidigueira,1840214,9.6
Lezíria do Tejo,185,10.8
Almeirim,1851403,8.2
Alpiarça,1851404,9.0
Azambuja,1851103,7.5
Benavente,1851405,16.2
Cartaxo,1851406,5.0
Chamusca,1851407,7.8
Coruche,1851409,12.2
Golegã,1851412,15.0
Rio Maior,1851414,12.3
Salvaterra de Magos,1851415,13.8
Santarém,1851416,11.5
Alto Alentejo,186,12.1
Alter do Chão,1861201,16.4
Arronches,1861202,17.7
Avis,1861203,14.6
Campo Maior,1861204,10.1
Castelo de Vide,1861205,19.8
Crato,1861206,10.3
Elvas,1861207,20.4
Fronteira,1861208,9.6
Gavião,1861209,4.7
Marvão,1861210,3.2
Monforte,1861211,6.5
Nisa,1861212,15.5
Ponte de Sor,1861213,13.7
Portalegre,1861214,7.3
Sousel,1861215,8.4
Alentejo Central,187,11.2
Alandroal,1870701,7.4
Arraiolos,1870702,13.9
Borba,1870703,11.6
Estremoz,1870704,3.7
Évora,1870705,8.2
Montemor-o-Novo,1870706,16.0
Mora,1870707,11.6
Mourão,1870708,19.5
Portel,1870709,20.4
Redondo,1870710,15.0
Reguengos de Monsaraz,1870711,10.3
Vendas Novas,1870712,7.0
Viana do Alentejo,1870713,22.6
Vila Viçosa,1870714,8.8
Algarve,15,11.5
Algarve,150,11.5
Albufeira,1500801,7.3
Alcoutim,1500802,11.4
Aljezur,1500803,9.6
Castro Marim,1500804,12.2
Faro,1500805,11.5
Lagoa,1500806,16.1
Lagos,1500807,16.2
Loulé,1500808,11.9
Monchique,1500809,5.5
Olhão,1500810,8.1
Portimão,1500811,9.3
São Brás de Alportel,1500812,16.4
Silves,1500813,10.8
Tavira,1500814,16.9
Vila do Bispo,1500815,7.3
Vila Real de Santo António,1500816,9.3
Região Autónoma dos Açores,2,8.5
Região Autónoma dos Açores,20,8.5
Região Autónoma dos Açores,200,8.5
Angra do Heroísmo,2004301,13.3
Calheta,2004501,2.4
Corvo,2004901,1.5
Horta,2004701,8.8
Lagoa,2004201,7.0
Lajes das Flores,2004801,5.2
Lajes do Pico,2004601,6.6
Madalena,2004602,10.6
Nordeste,2004202,5.0
Ponta Delgada,2004203,9.0
Povoação,2004204,2.7
Ribeira Grande,2004205,8.5
Santa Cruz da Graciosa,2004401,9.9
Santa Cruz das Flores,2004802,6.4
São Roque do Pico,2004603,13.7
Velas,2004502,7.7
Vila da Praia da Vitória,2004302,3.5
Vila do Porto,2004101,12.6
Vila Franca do Campo,2004206,8.4
Região Autónoma da Madeira,3,5.9
Região Autónoma da Madeira,30,5.9
Região Autónoma da Madeira,300,5.9
Calheta,3003101,6.4
Câmara de Lobos,3003102,14.0
Funchal,3003103,3.1
Machico,3003104,11.1
Ponta do Sol,3003105,16.0
Porto Moniz,3003106,3.9
Porto Santo,3003201,12.6
Ribeira Brava,3003107,7.2
Santa Cruz,3003108,3.7
Santana,3003109,6.3
São Vicente,3003110,11.3
